id	site	job_url	title	company	location	date_posted	job_type	is_remote	emails	description	source	job_url_direct	job_level	job_function	company_industry	company_url	company_logo
go-07taTgKVP00FtMP4AAAAAA==	google	https://www.iitjobs.com/job/lead-qc-manual-bhubaneswar-odisha-india-cozentus-technologies-pvt-ltd-27502?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic	Lead QC - Manual	Cozentus Technologies Pvt Ltd	Bhubaneswar, Odisha	2025-04-28		False		The ideal candidate must possess both manual and automation testing skills, adept at analyzing requirements, planning testing strategies, writing test cases, and liaising with teams and clients. They should have experience setting up automation frameworks, conducting various tests (security, performance), utilizing test management tools, understanding Java development, and working with DevOps tools. Additionally, they should be capable of defining processes, training teams, and working in Agile methodologies. Location: BhubaneswarExperience: 8- 12 years	jobspy						
go-OSIiReCugwk3w9qfAAAAAA==	google	https://in.linkedin.com/jobs/view/senior-graphic-designer-at-ame-corporation-4218990706?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic	Senior Graphic Designer	Ame Corporation	Bhubaneswar, Odisha	2025-04-24		False		"Role Description

This is a full-time on-site role for a Senior Graphic Designer located in Bhubaneswar. The Senior Graphic Designer will be responsible for graphics, graphic design, logo design, branding, typography, and other design-related tasks for various projects at AME Corporation and Prime Pay

Qualifications
• Graphics, Graphic Design, and Logo Design skills
• Branding and Typography expertise
• Experience in creating visually appealing designs
• Proficiency in design software such as Adobe Creative Suite
• Strong portfolio demonstrating design skills
• Bachelor's degree in Graphic Design or related field
• Ability to work collaboratively in a fast-paced environment
• Attention to detail and creativity"	jobspy						
go-jPKlNlfBhzSfDHtTAAAAAA==	google	https://www.iitjobs.com/job/senior-qc-engineer-automation-bhubaneswar-odisha-india-cozentus-technologies-pvt-ltd-27505?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic	Senior QC Engineer (Automation)	Cozentus Technologies Pvt Ltd	Bhubaneswar, Odisha	2025-04-23		False		Must have manual and automation testing experience, able to analyse requirements, plan for testing needs of project, write system test cases, interact with teams and clients, plan and execute testing of project. Test management tool usage and integration with automation toolsUnderstanding of development process for Java and related technologies is needed . Location: BhubaneswarExperience: 4-7 years	jobspy						
go--Lsr79npfZ29VDIhAAAAAA==	google	https://www.iitjobs.com/job/healthcare-data-analyst-bhubaneswar-odisha-india-scalable-systems-4245?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic	Healthcare Data Analyst	Scalable Systems	Bhubaneswar, Odisha	2025-04-22		False		Job Description: Data analysts are experts with strong understanding of data structures and analysis. They are responsible for ensuring requirements around the accuracy, quality, completeness, and timeliness of data are captured and understood. They work hand in hand with Data Modelers, Data Developers, Data Stewards and Business SMEs to ensure the customer's data needs are accurately captured, understood and delivered. The Data Analyst III leads other data analysts on projects to ensure the development of a plan for and adequate completion of data analysis and design and ensure the quality of data specifications. In addition, the Data Analyst III reviews the work and ensures the quality of the team's deliverables. This role requires analytical skills related to Data Science or Actuarial.Responsibilities:Directly interacts with more senior level internal and external stakeholders (i.e. Managers, Directors, etc.).Act as a subject matter expert in one or more designated data domains.Play a lead role in Data Governance Domain Workgroups as domain SME.Partners with BSG and business to define & document data related requirements, and settle deliverables and deadlines, utilizing negotiation and creativity independently.Lead and provide direction to data analysts.Translate highly complex concepts and conclusions in a clear and concise manner in ways that can be understood by a variety of audiences.Lead and own the analysis of highly complex data sources, identifying trends and patterns in data and make recommendations based on analysis results.Perform root cause analysis on complex data anomalies and working closely data stewards to define best practice.Facilitate review sessions with management, business users and other team members.Direct and review the work of other Data Analysts.Coach and mentor junior analysts.Provide estimates for work efforts on projects.Oversees the creation of data assessments and project deliverables.Development of best practices, guidelines and standards for Data Governance, Data Quality and Data Integration.Qualifications:Education: Requires Bachelor's degree from an accredited college or university, preferably in a Quantitative Field (e.g. Actuarial, Analytics, Data Science, Mathematics, Engineering, Public Health, Data Science Information Systems, Statistics, etc.).MS/MA preferred.Experience:10+ Years of relevant work experience.8+ Years in Data Analysis or data related roles.6+ Years of Healthcare experience.Additional Licensing, Certifications, Registrations.Experience with Healthcare data formats such as X12, HL7, NCPDP, etc.Experience with Industry Data Models such as ADRM, IBM IIW/HPDM or Teradata Healthcare Data Model.Experience with Metadata management processes and tools (Glossary, Lineage, Mapping, etc.).Knowledge of, and experience, with database management system (DBMS) physical implementation, including tables, joins and views, specifically Teradata, Oracle, Greenplum, Vertica, etc.Knowledge of Big Data concepts and platforms such as Hadoop.Knowledge of NoSQL data stores such as MongoDB, Neo4J, Cassandra, Redis, etc.Experience with Data Warehouse and Data Marts.Excellent communication, interpersonal, presentation and facilitation skills.Excellent analytical and critical thinking skills with attention to detail.Proficiency using Query Tools such as AQT, TOAD, etc.Extremely strong SQL skills are required.Proficiency in analysis of very large data sets.Require ability to make decisions regarding data quality problems and make recommendations for higher level audience.Experience with Data Quality & Data Profiling metrics and tools.Knowledge and experience with Data Governance processes, policies and standards.Writing functional/mapping specifications for extracts and reports.Familiarity with the use cases, business purposes and quality of the data.Require the ability to lead multiple tasks.Require excellent organizational and time management skills.Demonstrates the ability to apply structure to a loosely defined problem.Strongly Desired Technical Skills:Informatica Data Analyst or other similar data analysis and profiling tools.Informatica Data Explorer or other similar tools.Master Data Management processes and platforms such as Initiate, Informatica MDM, IBM MDM, etc.Data Federation tools such as Teradata QueryGrid, Composite or Informatica DV.Other DBMS platforms such as Sybase, SQL Server, MS Access.Familiarity with reporting and analytics tools such as SAS, Tableau, Cognos, QlikView,Microstrategy, etc.	jobspy						
go-le7p3_g65DaZ7652AAAAAA==	google	https://www.iitjobs.com/job/full-stack-software-engineer-bhubaneswar-odisha-india-intersources-inc-81846?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic	Full Stack Software Engineer	InterSources Inc	Bhubaneswar, Odisha	2025-04-22		False		Responsibilities:• Design scalable, resilient, and cost-effective UI and Back-end solutions• Execute Unit Development, Unit Testing, and Integration activities for UI and Back-end functions supporting DSG's Data Privacy and Synthetic Fraud products.• Develop comprehensive design blueprints and documentation, including system diagrams, technical specifications, and implementation plans.• Partner with Sales, Marketing and Product teams on understanding customer requirements and supporting them throughout the sales lifecycle.• Work closely with the Customer Implementation and Support Manager on implementing Data Safeguard products within the customer environment.Qualifications:• Bachelor's degree/Masters/MS in Computer Science, Information Technology, or a related field.• 8+ years of experience developing and testing software applications.• 5+ years of experience using UI based technologies such as JavaScript, React and/or Next JS• 5+ years of experience with scripting languages such as Python, GO, Ruby, PERL• 5+ years of experience with Continuous Integration/Continuous Deployment (CI/CD)• 5+ years of experience using Agile methodology.• 3+ years of experience implementing products at customer sites.• Excellent written and oral communication.• Hands-on experience developing custom file viewers.• Experience with web development frameworks, databases, and version control systems.• Hands-on experience with integrating the front end with the back end using REST API's	jobspy						
go-TN3DmUxv0XliZ62HAAAAAA==	google	https://www.iitjobs.com/job/plsql-developer-bhubaneswar-odisha-india-bodhtree-consulting-ltd-84698?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic	PL/SQL Developer	Bodhtree Consulting Ltd	Bhubaneswar, Odisha	2025-04-22		False		1. Develop, debug, and optimize PL/SQL scripts for data transformation and integration2. Rewriting queries and PL/SQL code to improve efficiency, scalability, and response time3.Write and maintain scripts for data extraction, transformation, and loading (ETL) between various databases and systems.Perform data migration, ensuring data integrity during the process.4. Perform root cause analysis and troubleshoot database issues, including application performance, errors, and system downtime.5.Resolve database-related issues by performing recovery, patching, and upgrading.6. Work closely with other developers, DBAs (Database Administrators), business analysts, and project managers to deliver high-quality solutions.7. Participate in code reviews, peer programming, and provide mentoring to junior developers8.Deep understanding of Oracle Database (version 11g, 12c, or higher), its architecture, and features like tablespaces, indexes, constraints, etc.9.Experience working with Oracle database tools like SQL*Plus, SQL Developer, TOAD, and Oracle Enterprise Manager.	jobspy						
go-Soqfjq3g3NtmcpGLAAAAAA==	google	https://in.linkedin.com/jobs/view/associate-at-nalco-4218931700?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic	Associate	Nalco	Odisha	2025-04-20		False		"Company Description
TATA AIGGENERALINSURANCE.

Role Description

This is a full-time on-site role for an Associate located in Odisha, India. The Associate will be responsible for a variety of tasks, including supporting various projects, conducting research, coordinating with team members, and communicating with clients. The role also involves data entry, report generation, and maintaining accurate records. The Associate will work closely with supervisors to ensure that all tasks are completed efficiently and effectively.

Qualifications
• Strong organizational and time management skills
• Effective communication and interpersonal skills
• Proficiency in data entry and report generation
• Ability to work collaboratively with team members
• Problem-solving skills and attention to detail
• Experience with project coordination and client communication
• Proficiency in Microsoft Office Suite and relevant software tools
• B-Tech in a relevant field or equivalent experience"	jobspy						
go-AiXhf-h4j9DxsPv_AAAAAA==	google	https://in.linkedin.com/jobs/view/business-manager-sales-at-livspace-4217778086?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic	Business Manager - Sales	Livspace	Bhubaneswar, Odisha	2025-04-20	contract	False		"About Us

Livspace is Asia’s largest and fastest-growing omnichannel home interiors and renovation platform. Using its proprietary technology, Livspace provides a one-stop renovation solution for homeowners—from design to managed last mile fulfillment for all rooms in a home. The platform has organized a fragmented industry, bringing together designers, brands, manufacturers, and contractors to enable an eCommerce-like trusted, and predictable experience.

The company launched operations in Bengaluru, India in 2015. Since its inception, Livspace has organized a fragmented industry, bringing together a curated community of designers, brands, manufacturers and contractors. This has resulted in an e-commerce-like trusted and predictable experience for the homeowners. Livspace boasts of a community of 50000+ satisfied customers and over 2000 interior designers.

The company is already the largest employer of interior designers in the country. Livspace currently serves Singapore, Malaysia, Saudi Arabia as well as 30 metro and non-metro areas in India including - Bengaluru, Chennai, Delhi, Noida, Gurgaon, Mumbai, Thane, Pune, Hyderabad, Kolkata, Ahmedabad, Kochi, Jaipur, Lucknow, Indore, Surat, Coimbatore, Mysore, Mangalore, Vizag, Vijayawada.

Livspace has showcased phenomenal growth since its launch, having delivered over 125,000 rooms and selling over 7.5 million SKUs through its platform. The company also delivered 50,000 homes across all our serviceable locations.

The founders - Anuj Srivastava and Ramakant Sharma are former Google and Myntra executives respectively, who are seasoned entrepreneurs and successful angel investors. Livspace’s leadership team combines world-class talent and entrepreneurial experience gathered at some of the best companies in the world.

Livspace has raised around USD 450 million in capital from some of the top global investors including KKR, Ingka Group Investments (part of largest IKEA retailer Ingka Group), TPG Growth, Goldman Sachs, Kharis Capital, Venturi Partners, FFP (Peugeot Group’s Holding Company), EDBI, Bessemer Venture Partners, Jungle Ventures, Helion Ventures and UC-RNT. For more information, please visit: ""https://www.livspace.com/""

Job Description

In the role of a Business Manager - Sales, you will be required to own the sales funnel & drive sales closure. You will need to achieve sales target on projects month on month through a team of 6 to 10 designers.
• Enure sales funnel management to achieve a higher conversion rate output.
• Target and achieve of 12 to 15 projects a month, by ensuring new projects bookings.
• Responsible for Customer Experience & Relationship Management.
• Training designers to esnure sales & enabling them to achieve their targets.

Job Requirement
• Bachelor's Qualification: B-Arch (preferred) | If any other, then with relevant industry exposure.
• 5+ years of relevant work-experience in B2C Business Development and Growth.
• Managerial experience of minimum 12 months leading a team."	jobspy						
go-HA9RohELhCVuSUurAAAAAA==	google	https://www.iitjobs.com/job/aiml-software-engineer-bhubaneswar-odisha-india-intersources-inc-81845?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic	AI/ML Software Engineer	InterSources Inc	Bhubaneswar, Odisha	2025-04-17		False		We are currently seeking an experienced AI/ML Engineer to join our dynamic Engineering organization. As a key contributor, you will play a vital role in advancing our suite of products, leveraging your expertise in machine learning to develop and implement cutting-edge solutions.Candidates should also have extensive experience working with customers to implement product solutions within the customers environment (e.g., On Prem or Cloud)Responsibilities:• Develop and implement machine learning models and algorithms in collaboration with the AI/ML team.• Drive data pre-processing, feature engineering, and model evaluation to ensure the accuracy and efficiency of solutions.• Conduct rigorous experiments, analyze results, and provide actionable insights to enhance model performance and effectiveness.• Optimize model performance with large-scale datasets, employing advanced techniques and methodologies.• Spearhead the integration of AI/ML models into our product ecosystem, seamlessly merging them into product features.• Stay abreast of the latest advancements in AI/ML technologies, actively contributing to the team's knowledge base and fostering innovation.• Partner with Sales, Marketing and Product teams on understanding customer requirements and supporting them throughout the sales lifecycle.• Work closely with the Customer Implementation and Support Manager on implementing Data Safeguard products within the customers environment.Qualifications:• Bachelor's or Master's degree in Computer Science, Data Science, or a related field.• 5+ years of hands-on experience in developing, deploying and testing machine learning solutions.• 5+ years of experience with scripting languages such as Python and with machine learning libraries such as TensorFlow, PyTorch, and scikit-learn.• 5+ years of experience with Continuous Integration/Continuous Deployment (CI/CD)• 5+ years of experience using Agile methodology.• 3+ years of experience implementing products at customer sites.• Demonstrated expertise in data pre-processing, feature engineering, and model evaluation techniques	jobspy						
go-6ho4s7ARoqVBOJrLAAAAAA==	google	https://in.linkedin.com/jobs/view/academic-counsellor-in-andhra-pradesh-tamil-nadu-karnataka-odisha-begumpet-rajasthan-maharashtra-telangana-kolkata-hyderabad-raipur-nagpur-at-wemakescholars-4219933594?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic	Academic Counsellor in Andhra Pradesh, Tamil Nadu, Karnataka, Odisha, Begumpet, Rajasthan, Maharashtra, Telangana, Kolkata, Hyderabad, Raipur, Nagpur	WeMakeScholars	Odisha	2025-04-17		False		"Key Responsibilities
• Get trained on the process of scholarship and admission in various countries
• Help students secure admits and scholarships for their higher studies abroad
• Understand student profiles and requirements upon their application
• Shortlist appropriate scholarships and universities for each student
• Write scholarship essays and Statements of Purpose (SOP) for students
• Track and manage deadlines for your portfolio of students
• Interact with students via phone or email, dedicating 3-4 hours a day for calls

About Company: WeMakeScholars is a Hyderabad-based fintech startup specializing in education loans and scholarships. Established seven years ago, we collaborate closely with major banks and NBFCs in India, including SBI, Axis Bank, and ICICI Bank, to simplify the education loan application process for students and parents. While we do not directly provide loans, we ensure a seamless and hassle-free experience. As market leaders in the education finance segment, we currently partner with over 14 financial institutions, a number that continues to grow. Last year, we facilitated the disbursement of approximately 10,000 crore in student loans, and we anticipate even higher volumes this year."	jobspy						
